Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling
Knipolegus_lophotes	real	0.826445549117768	0.5	0.802248277131605	NA	0.5	0.458089309388389	NA	0.5	0.350305366399478	NA	14.4592357369428	7.29222163135353	7.16701410558925	0.0108059299840585	0.989194070015942	0.0322188897080261
Knipolegus_orenocensis	real	0.549123244755905	0.5	0.367933480966286	NA	0.5	0.459205954852147	NA	0.5	0.274931414486732	NA	11.9121616967501	5.89102172631743	6.02113997043265	0.0805792375647898	0.91942076243521	0.0257376340494512
Knipolegus_poecilocercus	real	0.608763240652155	0.5	0.511666444569578	NA	0.5	0.309840547638676	NA	0.5	0.0130331852898032	NA	12.1714790710248	6.22083896005283	5.95064011097202	0.0196544363482995	0.980345563651701	0.0731765502167277
Knipolegus_poecilurus	real	0.54480468289465	0.5	0.533348573394562	NA	0.5	0.344266583780066	NA	0.5	0.0335706080882789	NA	15.2052363164723	7.71282687632999	7.49240944014227	0.0138942740001822	0.986105725999818	0.0942141698079558
Knipolegus_signatus	real	0.592194143282507	1	0.714322691429312	NA	0.5	0.589850351366294	NA	0.5	0.333900945833053	NA	15.1263544763762	7.43231433232339	7.69404014405279	0.127528125383628	0.872471874616372	0.0532407753569617
Knipolegus_striaticeps	real	0.122509877717865	1	0.62950192942703	NA	1	0.157301323013749	NA	1	0.166103417707001	NA	13.8555491821604	6.57783018406157	7.27771899809887	0.576489541068857	0.423510458931143	0.692142742764662
Knipolegus_striaticeps	hypo_br	0.132119967829713	1	0.689610902670837	NA	0.5	0	NA	0.5	0.100540214599284	NA	NA	NA	NA	0.507976314642411	0.492023685357589	0.680512244841517
Knipolegus_striaticeps	hypo_wi	0.123825249035832	1	0.642995472461459	NA	1	0.314893380322063	NA	0.5	0.0354218145469779	NA	NA	NA	NA	0.569623445937274	0.430376554062726	0.692142742764662
Lessonia_oreas	real	0.581157825974205	0.5	0.548120165164604	NA	0.5	0.0348319001546891	NA	0.5	0.0043216198899263	NA	15.7894819011006	7.85865190762311	7.93082999347747	0.138042056413057	0.861957943586943	0.0831766094536924
Lessonia_rufa	real	0.149315116570445	1	0.735036978794088	NA	1	0.425409905633615	NA	1	0.188806861750649	NA	15.4527032751451	7.92485142412945	7.52785185101568	0.555586525441341	0.444413474558659	0.603934680800388
Lessonia_rufa	hypo_br	0.775096545617174	0.5	0.707368192798448	NA	0.5	0.602947773541422	NA	0.5	0.11676124548698	NA	NA	NA	NA	0.0072632319694779	0.992736768030522	0.0545515744355574
Lessonia_rufa	hypo_wi	0.792806602973153	1	0.819951201453322	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.022968627018215	0.977031372981785	0.0075515151416169
Muscisaxicola_albifrons	real	0.387945328715829	1	0.517174567710982	NA	0.5	0.0333933995612777	NA	0.5	0.0513142619498388	NA	14.8575547068228	7.44004073751751	7.41751396930533	0.312987907512388	0.687012092487612	0.282718637686644
Muscisaxicola_albilora	real	0.260759959867188	1	0.457765585670546	NA	0.5	0.0229108907674074	NA	0.5	0.00334627805084176	NA	15.7584536042366	7.48895545085168	8.26949815338493	0.504337012123247	0.495662987876753	0.0393742067137224
Muscisaxicola_albilora	hypo_br	0.539252688862319	0.5	0.484737010145472	NA	0.5	0.262468363628403	NA	0.5	0.0125755756721576	NA	NA	NA	NA	0.147449064216286	0.852550935783714	0.0375341434172428
Muscisaxicola_albilora	hypo_wi	0.342508953017133	1	0.434263350837816	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.389773073567621	0.610226926432379	0.206836998313832
Muscisaxicola_alpinus	real	0.688204481184415	1	0.831951382213307	NA	0.5	0.239945418221557	NA	0.5	0.21759958955844	NA	13.2608554050553	6.59060455292319	6.67025085213216	0.152457755776408	0.847542244223592	0.109681925654841
Muscisaxicola_capistratus	real	0.180416512522266	1	0.455992999006908	NA	0.5	0.00216521674964054	NA	1	0.20112496227072	NA	15.4767932869183	7.18156877003098	8.29522451688731	0.481214520889051	0.518785479110949	0
Muscisaxicola_capistratus	hypo_br	0.525521687509307	0.5	0.477002170917693	NA	0.5	0.0151629479213555	NA	0.5	0.0139124285839337	NA	NA	NA	NA	0.190816791160621	0.809183208839379	0.111204469244271
Muscisaxicola_capistratus	hypo_wi	0.379591275880072	1	0.444653381962533	NA	0.5	0.00316478328976444	NA	0.5	0	NA	NA	NA	NA	0.414005716558655	0.585994283441345	0.243164136256478
Muscisaxicola_cinereus	real	0.384598231950823	1	0.475661461361917	NA	0.5	0.0406393271443275	NA	0.5	0.00158090579848813	NA	15.9179367613778	7.82729356054148	8.09064320083634	0.33172185247064	0.66827814752936	0.113419382635679
Muscisaxicola_cinereus	hypo_br	0.498652970560395	1	0.512517568590375	NA	0.5	0.058659472615641	NA	0.5	0.00298283888540918	NA	NA	NA	NA	0.225364636356464	0.774635363643537	0.0877917555429792
Muscisaxicola_cinereus	hypo_wi	0.467625519081954	1	0.593560912119687	NA	0.5	0.0998120973598414	NA	0.5	0.00127875711683689	NA	NA	NA	NA	0.268921374807584	0.731078625192416	0.179907442926557
Muscisaxicola_flavinucha	real	0.241034716726468	1	0.458176570219841	NA	0.5	0.000544591974600994	NA	1	0.26143923426029	NA	15.5401951506124	7.65571985545173	7.8844752951607	0.460399021163044	0.539600978836956	0.400459183370563
Muscisaxicola_flavinucha	hypo_br	0.438699356404396	1	0.464098585297304	NA	0.5	0.121557395866385	NA	0.5	0.00322657603964049	NA	NA	NA	NA	0.26842608974255	0.73157391025745	0.129542490327576
Muscisaxicola_flavinucha	hypo_wi	0.148172660813147	1	0.343947552542662	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.788344236438911	0.211655763561089	0.67747521030663
Muscisaxicola_fluviatilis	real	0.207235609059755	1	0.429485351743941	NA	0.5	0.0363093069102267	NA	0.5	0.00227362302362666	NA	12.7325871633858	6.81460241278628	5.91798475059954	0.0669842087498155	0.933015791250185	0.46384446923785
Muscisaxicola_frontalis	real	0.172049132715386	1	0.345799603834375	NA	0.5	0.0106570439075714	NA	0.5	0	NA	15.1079057140968	7.4250252565455	7.68288045755133	0.617753743298965	0.382246256701035	0.322756632961481
Muscisaxicola_frontalis	hypo_br	0.316316889698221	1	0.406872772177315	NA	0.5	0.0251630091509442	NA	0.5	0	NA	NA	NA	NA	0.433742331254188	0.566257668745812	0.279974855103966
Muscisaxicola_frontalis	hypo_wi	0.206117048133193	1	0.415895343334897	NA	1	0.25979003307002	NA	0.5	0	NA	NA	NA	NA	0.640217235516769	0.359782764483231	0.645196072965467
Muscisaxicola_griseus	real	0.328339268681108	1	0.518634802596833	NA	0.5	0.114637557829577	NA	0.5	0.0249579735961265	NA	15.3005884306277	7.62027906781842	7.68030936280924	0.234613182306448	0.765386817693552	0.220377710775616
Muscisaxicola_juninensis	real	0.607600211733667	0.5	0.505022006420101	NA	0.5	0.073504241417253	NA	0.5	0	NA	15.2665149869411	7.61558104457092	7.65093394237015	0.134224405579219	0.865775594420781	0.0512496054257914
Muscisaxicola_maclovianus	real	0.526574009976793	1	0.583632430767416	NA	0.5	0.166344730213677	NA	0.5	0.0519319455743451	NA	16.0544077645995	7.7327384376348	8.32166932696469	0.255716342756469	0.744283657243531	0.00193781773760472
