Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Hymenops_perspicillatus	hypo_wi	0.004606471	1	0.173203682	NA	1	0.094612955	NA	0.5	2.00E-05	NA	NA	NA	NA	0.991707609	0.008292391	0.986529739	mig	Xolmiini
Knipolegus_aterrimus	real	0.246803486	1	0.292439454	NA	0.5	0.113563947	NA	0.5	0.05387854	NA	15.31024594	7.676977577	7.633268367	0.391032142	0.608967858	0.733653001	mig	Xolmiini
Knipolegus_aterrimus	hypo_br	0.240262885	1	0.227126499	NA	0.5	0.211107854	NA	1	0.377781196	NA	NA	NA	NA	0.393474922	0.606525078	0.792982908	mig	Xolmiini
Knipolegus_aterrimus	hypo_wi	0.211859208	1	0.25160837	NA	1	0.227817129	NA	0.5	0.002619387	NA	NA	NA	NA	0.342411805	0.657588195	0.74143623	mig	Xolmiini
Knipolegus_cyanirostris	real	0.14372813	1	0.269666654	NA	1	0.370088724	NA	0.5	0	NA	13.05690218	6.605815661	6.451086518	0.774713134	0.225286866	0.735146404	mig	Xolmiini
Knipolegus_cyanirostris	hypo_br	0.139176954	1	0.249964032	NA	0.5	0.006152519	NA	0.5	0.005606443	NA	NA	NA	NA	0.776677935	0.223322065	0.796930991	mig	Xolmiini
Knipolegus_cyanirostris	hypo_wi	0.073946022	1	0.275976785	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.880131405	0.119868595	0.853747578	mig	Xolmiini
Knipolegus_franciscanus	real	0	1	0.605148328	NA	1	0	NA	1	0.063268463	NA	11.07456376	5.423320661	5.651243102	1	0	1	res	Xolmiini
Knipolegus_lophotes	real	0.696267819	0.77228	0.529384454	NA	0.5	0.453050091	NA	0.5	0.487814359	NA	13.39804628	6.80417464	6.593871642	0.064257771	0.935742229	0.205814474	res	Xolmiini
Knipolegus_orenocensis	real	0.272151201	0.72277	0.20088169	NA	0.5	0	NA	0.5	0.141292663	NA	12.70623797	6.577060178	6.129177793	0.095319719	0.904680281	0.562006677	res	Xolmiini
Knipolegus_poecilocercus	real	0.488587337	0.82178	0.421898806	NA	1	0.502169012	NA	0.5	0.068352647	NA	12.92406307	6.164301567	6.759761499	0.172510435	0.827489565	0.003973567	res	Xolmiini
Knipolegus_poecilurus	real	0.51057761	1	0.648413712	NA	0.5	0.194206321	NA	0.5	0.070727227	NA	14.91022784	7.560115863	7.350111976	0.02170333	0.97829667	0.074261749	res	Xolmiini
Knipolegus_signatus	real	0.355047416	1	0.488161863	NA	0.5	0.167026107	NA	0.5	0.166800909	NA	14.29858812	7.28273118	7.015856935	0.237284137	0.762715863	0.500988385	res	Xolmiini
Knipolegus_striaticeps	real	0.036193517	1	0.229208081	NA	1	0.466977884	NA	1	0.397963972	NA	13.36794067	6.528478917	6.839461752	0.911799903	0.088200097	0.953940207	mig	Xolmiini
Knipolegus_striaticeps	hypo_br	0.048628467	1	0.228716552	NA	0.5	0	NA	1	0.080147963	NA	NA	NA	NA	0.867791627	0.132208373	0.946180911	mig	Xolmiini
Knipolegus_striaticeps	hypo_wi	0.035264439	1	0.253726141	NA	0.5	0.029728784	NA	1	0.378878062	NA	NA	NA	NA	0.911861069	0.088138931	0.955310015	mig	Xolmiini
Lessonia_oreas	real	0.525965943	0.0099	0.369673931	NA	0.5	0.059698394	NA	0.5	0.02681789	NA	14.90189197	7.559417031	7.342474939	0.170024583	0.829975417	0.315389489	res	Xolmiini
Lessonia_rufa	real	0.217969223	1	0.505029828	NA	1	0.252833484	NA	0.5	0.150793574	NA	14.77063347	7.635819948	7.134813521	0.532008207	0.467991793	0.73522287	mig	Xolmiini
Lessonia_rufa	hypo_br	0.502716541	0.84158	0.376963931	NA	0.5	0.004153558	NA	0.5	0.079025855	NA	NA	NA	NA	0.219849406	0.780150594	0.311866572	mig	Xolmiini
Lessonia_rufa	hypo_wi	0.511495405	0.0099	0.437945362	NA	0.5	0.155834279	NA	0.5	0.142399012	NA	NA	NA	NA	0.16712365	0.83287635	0.132044731	mig	Xolmiini
Muscisaxicola_albifrons	real	0.387757648	1	0.394097362	NA	0.5	0.004414045	NA	0.5	0.012970907	NA	13.99525271	7.203351614	6.791901097	0.287278896	0.712721104	0.381724395	res	Xolmiini
Muscisaxicola_albilora	real	0.296583152	1	0.343735351	NA	0.5	0.027814088	NA	0.5	0.002234931	NA	14.71427961	6.924668559	7.789611047	0.555864461	0.444135539	0.304156103	mig	Xolmiini
Muscisaxicola_albilora	hypo_br	0.457421463	0.0099	0.315234936	NA	0.5	0.008198772	NA	0.5	0.006037359	NA	NA	NA	NA	0.19506072	0.80493928	0.225863211	mig	Xolmiini
Muscisaxicola_albilora	hypo_wi	0.117114298	0.85149	0.221987532	NA	1	0.121150499	NA	0.5	0	NA	NA	NA	NA	0.780811425	0.219188575	0.658024688	mig	Xolmiini
Muscisaxicola_alpinus	real	0.503105381	0.0396	0.615809286	NA	0.5	0.060707455	NA	0.5	0.007293699	NA	12.966358	6.369501519	6.596856482	0.226942652	0.773057348	0.086712553	res	Xolmiini
Muscisaxicola_capistratus	real	0.282909074	1	0.350139044	NA	0.5	0.154076817	NA	0.5	0.000439572	NA	14.66821411	6.787494291	7.880719818	0.511311381	0.488688619	0.120311755	mig	Xolmiini
Muscisaxicola_capistratus	hypo_br	0.388873978	0.0099	0.294403451	NA	0.5	0.09062455	NA	0.5	0.000638263	NA	NA	NA	NA	0.396806664	0.603193336	0.477750789	mig	Xolmiini
Muscisaxicola_capistratus	hypo_wi	0.102372482	0.37624	0.239900537	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.797367607	0.202632393	0.741126452	mig	Xolmiini
Muscisaxicola_cinereus	real	0.383716257	0.21782	0.348878692	NA	0.5	0.036898265	NA	0.5	0.281523167	NA	15.15915452	7.550279999	7.608874518	0.410901027	0.589098973	0.331132616	mig	Xolmiini
Muscisaxicola_cinereus	hypo_br	0.463187962	0.0099	0.354073719	NA	0.5	0.229724202	NA	0.5	0.012655856	NA	NA	NA	NA	0.284008144	0.715991856	0.240171061	mig	Xolmiini
Muscisaxicola_cinereus	hypo_wi	0.395149168	0.07921	0.334028955	NA	0.5	0.217825624	NA	0.5	0.00549651	NA	NA	NA	NA	0.394296511	0.605703489	0.369486137	mig	Xolmiini
Muscisaxicola_flavinucha	real	0.377931435	1	0.314189696	NA	0.5	0	NA	0.5	0.003496669	NA	14.4385597	7.037932697	7.400627005	0.476102977	0.523897023	0.341461543	mig	Xolmiini
Muscisaxicola_flavinucha	hypo_br	0.394726324	0.94059	0.357735794	NA	0.5	0.05375056	NA	0.5	0.061778297	NA	NA	NA	NA	0.308371658	0.691628342	0.335733341	mig	Xolmiini
Muscisaxicola_flavinucha	hypo_wi	0.027682843	1	0.164758364	NA	1	0.558972552	NA	0.5	0	NA	NA	NA	NA	0.957409613	0.042590387	0.917349949	mig	Xolmiini
Muscisaxicola_fluviatilis	real	0.297269287	0.06931	0.283094111	NA	0.5	0.056501626	NA	0.5	0.105242289	NA	12.92870651	6.516022172	6.412684339	0.433136963	0.566863037	0.282428087	res	Xolmiini
Muscisaxicola_frontalis	real	0.151466243	1	0.240061154	NA	0.5	1.11E-16	NA	0.5	0	NA	13.83328743	6.738668476	7.09461895	0.892458005	0.107541995	0.778488125	mig	Xolmiini
